ESTOQUE DE DÍVIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores em R$ 1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISCRIMINAÇÃO de credores;ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;;;;;;;;;;;;;;
DÍVITA TOTAL (Adm. Direta e Indireta);2001;690.905.000,00;3.363.685.582,82;1.987.281.567,38;102.705.510,19;10.159.998.903,63;3.823.576.323,81;1.369.872.739,23;3.137.979.183,45;8.858.574.698,48;4.682.783.637,33;33.146.702.589,48;4.495.525.740,00;5.440.519.665,27;1.994.968.839,99;2.452.972.047,84;4.708.277.032,20;2.452.324.164,83;9.420.850.921,52;29.690.110.054,54;1.258.337.650,00;1.939.165.853,36;198.108.833,70;20.250.085.961,02;6.191.644.242,52;1.147.485.498,84;78.040.276.163,48;576.923.293,45;;;;;;;;;;;;;;
1 - DÍVIDA FUNDADA - Adm. Direta;2001;632.035.000,00;3.026.017.006,46;1.987.281.567,38;102.705.510,19;10.000.976.903,63;3.823.576.323,81;1.342.234.739,23;2.694.783.507,28;8.809.974.698,48;4.682.783.637,33;29.090.018.454,35;4.495.525.740,00;5.407.776.665,27;1.734.329.226,60;2.408.802.047,84;4.111.113.032,20;2.115.758.371,81;8.900.799.910,99;29.587.579.743,51;1.010.009.420,00;1.509.799.753,74;198.108.833,70;19.565.242.961,02;6.191.644.242,52;1.147.485.498,84;76.389.635.808,60;576.923.293,45;;;;;;;;;;;;;;
1.1 -   Fundada Interna;2001;632.035.000,00;2.995.713.006,46;1.986.976.567,38;98.255.510,19;8.578.585.903,63;2.698.891.323,81;1.169.421.739,23;2.430.145.507,28;8.742.470.698,48;4.442.284.057,33;28.187.734.044,52;4.429.267.140,00;5.189.487.969,44;1.445.685.226,60;2.348.916.363,76;3.830.995.032,20;1.984.562.371,81;7.192.160.910,99;27.967.976.743,51;963.106.420,00;1.509.799.753,74;150.772.673,70;18.632.611.608,02;5.810.644.242,52;1.046.134.140,84;75.085.624.371,70;265.896.293,45;;;;;;;;;;;;;;
1.1.1 - Contratual;2001;632.035.000,00;1.940.076.006,46;1.986.976.567,38;98.255.510,19;8.578.585.903,63;2.698.891.323,81;1.169.421.739,23;2.430.145.507,28;8.742.470.698,48;4.442.284.057,33;28.187.734.044,52;4.429.267.140,00;5.189.487.969,44;1.445.685.226,60;2.348.916.363,76;3.830.995.032,20;1.984.562.371,81;7.192.160.910,99;27.967.976.743,51;963.106.420,00;1.509.799.753,74;150.772.673,70;18.579.567.075,27;5.810.644.242,52;1.046.134.140,84;74.612.493.642,44;265.896.293,45;;;;;;;;;;;;;;
1.1.1.1 - União;2001;632.035.000,00;1.833.932.006,46;1.986.976.567,38;98.255.510,19;8.577.494.903,63;2.694.303.323,81;1.169.421.739,23;2.248.790.507,28;8.742.470.698,48;4.436.435.897,33;27.062.613.554,52;4.429.267.140,00;5.189.487.969,44;1.445.685.226,60;2.348.829.363,76;3.830.995.032,20;1.984.562.371,81;6.321.628.062,29;27.426.571.229,51;963.106.420,00;1.509.799.753,74;150.772.673,70;18.095.838.775,27;5.157.895.242,52;1.033.581.062,84;74.612.493.642,44;265.896.293,45;;;;;;;;;;;;;;
1.1.1.1.1 - BIB;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31.206.503,93;42.913.080,00;0,00;0,00;0,00;0,00;0,00;20.183.437,35;6.123.139.481,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.2 - BEA;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.3 - Clube de Paris;2001;0,00;0,00;0,00;0,00;1.195.023,34;0,00;0,00;2.905.326,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.385.303,54;5.255.774,46;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.4 - DMLP;2001;0,00;42.395.810,93;434.723.000,00;0,00;593.981.459,93;133.151.379,38;0,00;215.623.080,39;823.424.037,00;533.252.727,33;857.065.219,80;453.633.470,00;607.908.550,43;256.731.497,46;349.419.676,16;170.362.478,70;282.482.386,94;358.350.116,29;109.463.074,47;72.669.000,00;0,00;0,00;244.734.560,25;108.619.236,43;21.169.890,23;1.613.978.082,90;0,00;;;;;;;;;;;;;;
1.1.1.1.5 - Lei 7.976/89;2001;7.949.000,00;88.426.939,88;0,00;0,00;423.072.026,42;651.924.282,09;0,00;104.775.726,56;444.218.675,54;425.250.200,00;209.867.706,83;296.247.960,00;309.867.548,03;24.078.292,12;164.981.468,10;240.301.352,60;98.666.997,44;56.963.570,34;553.913.541,39;81.072.000,00;0,00;0,00;342.687.396,79;545.849.432,77;15.662.731,81;1.889.414.145,71;0,00;;;;;;;;;;;;;;
1.1.1.1.6 - Parc.  FGTS até 31/03/96;2001;0,00;0,00;0,00;0,00;62.620.000,00;0,00;0,00;0,00;73.107.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.7 - Parc.  FGTS após 31/03/96;2001;733.000,00;0,00;1.406.720,00;0,00;0,00;0,00;1.672.000,00;0,00;0,00;2.991.640,00;11.658.520,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29.170.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.8 - Parc.  INSS até 01/12/92;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40.978.940,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.9 - Parc.  INSS após 01/12/92;2001;52.386.000,00;0,00;2.934.370,00;0,00;0,00;0,00;0,00;462.190.128,14;688.768.000,00;1.599.380,00;0,00;0,00;413.363.763,38;22.440.000,00;0,00;0,00;4.721.000,00;43.227.000,00;3.083.000,00;15.031.000,00;206.209.000,00;1.705.000,00;26.702.786,93;0,00;5.420.614,00;12.186.772,78;70.636.670,00;;;;;;;;;;;;;;
1.1.1.1.10 - Lei 8.727/93;2001;337.720.000,00;471.334.905,69;1.202.087.000,00;0,00;3.187.266.143,81;375.405.577,73;0,00;256.053.678,37;4.853.287.000,00;2.616.134.010,00;1.248.104.399,96;1.244.979.800,00;2.221.409.567,59;453.947.626,19;1.241.769.219,50;755.214.200,90;917.228.057,68;356.749.336,98;1.154.878.606,44;429.850.000,00;197.508.000,00;62.069.000,00;1.994.502.506,53;663.085.283,35;316.097.541,21;2.312.421.274,07;85.518.153,45;;;;;;;;;;;;;;
1.1.1.1.10.1 - Lei 8.727/93 GOVERNO IGPM;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.2 - Lei 8.727/93 GOVERNO TJLP;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.3 - Lei 8.727/93 GOVERNO TR;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.10.4 - Lei 8.727/93 Outros;2001;337.720.000,00;471.334.905,69;1.202.087.000,00;0,00;3.187.266.143,81;375.405.577,73;0,00;256.053.678,37;4.853.287.000,00;2.616.134.010,00;1.248.104.399,96;1.244.979.800,00;2.221.409.567,59;453.947.626,19;1.241.769.219,50;755.214.200,90;917.228.057,68;356.749.336,98;1.154.878.606,44;429.850.000,00;197.508.000,00;62.069.000,00;1.994.502.506,53;663.085.283,35;316.097.541,21;2.312.421.274,07;85.518.153,45;;;;;;;;;;;;;;
1.1.1.1.11 - Lei 9.496/97;2001;209.749.000,00;1.021.709.275,31;287.099.377,38;25.764.510,19;3.271.002.367,39;862.304.084,61;698.187.548,72;703.088.485,37;1.816.169.656,93;679.661.520,00;24.563.094.078,70;2.100.104.760,00;1.578.652.551,72;513.102.152,74;473.163.000,00;2.270.707.000,00;508.786.929,75;5.236.223.146,19;18.037.460.282,44;213.438.420,00;976.984.753,74;61.114.673,70;15.251.547.560,98;3.812.466.515,51;489.683.276,59;68.599.756.586,42;0,00;;;;;;;;;;;;;;
1.1.1.1.11.1 - Principal;2001;209.749.000,00;1.021.709.275,31;272.328.234,50;0,00;3.271.002.367,39;862.304.084,61;655.351.697,00;703.088.485,37;1.816.169.656,93;679.661.520,00;24.424.311.410,80;2.032.224.690,08;1.578.652.551,72;332.305.429,39;473.163.000,00;2.237.100.087,11;488.127.554,49;5.183.918.274,20;18.037.460.282,44;76.823.080,20;964.975.680,41;61.114.673,70;14.275.919.879,09;3.812.466.515,51;489.683.276,59;68.599.756.586,42;0,00;;;;;;;;;;;;;;
1.1.1.1.11.4 - PROES Extralimite;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;70.183.547,90;0,00;0,00;176.180.819,12;0,00;0,00;0,00;0,00;0,00;136.615.339,80;0,00;0,00;975.627.681,89;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.5 - PROES Intralimite;2001;0,00;0,00;0,00;25.764.510,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.6 - Precatórios;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.7  - Conta Gráfica Estoque;2001;0,00;0,00;14.771.142,88;0,00;0,00;0,00;42.835.851,72;0,00;0,00;0,00;68.599.120,00;67.880.069,92;0,00;4.615.904,23;0,00;33.606.912,89;20.659.375,26;52.304.871,99;0,00;0,00;12.009.073,33;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.12 - CEF/VOTO 162;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.13 - CEF (outras);2001;22.688.000,00;0,00;6.040.000,00;72.491.000,00;395.492.000,00;75.863.000,00;205.575.365,01;57.020.000,00;25.646.329,01;16.844.650,00;89.266.813,28;34.974.700,00;8.529.322,79;112.945.852,09;397.000,00;186.291.000,00;9.285.000,00;109.457.000,00;35.115.000,00;18.821.000,00;16.482.000,00;11.568.000,00;49.977.446,00;17.647.000,00;45.838.927,00;136.686.379,09;92.134.260,00;;;;;;;;;;;;;;
1.1.1.1.14 - Parcelamento - PIS/PASEP;2001;612.000,00;0,00;494.100,00;0,00;0,00;0,00;0,00;0,00;17.850.000,00;2.729.190,00;0,00;0,00;0,00;310.000,00;0,00;0,00;5.183.000,00;0,00;16.305.000,00;0,00;0,00;0,00;2.630.090,65;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.15 - B.Brasil;2001;198.000,00;128.182.074,65;52.192.000,00;0,00;23.882.000,00;0,00;1.713.710,13;21.180.000,00;0,00;75.066.340,00;8.389.000,00;24.763.600,00;13.163.962,15;0,00;0,00;0,00;65.313.000,00;0,00;742.665.243,77;0,00;21.614.000,00;0,00;105.434.399,60;0,00;0,00;42.431.082,28;17.607.210,00;;;;;;;;;;;;;;
1.1.1.1.16 - BNDES;2001;0,00;61.000.000,00;0,00;0,00;206.740.000,00;170.472.000,00;261.873.115,37;396.667.384,01;0,00;0,00;9.597.995,22;0,00;0,00;27.215.000,00;0,00;0,00;74.088.000,00;0,00;620.089.000,00;0,00;0,00;0,00;73.016.168,00;4.972.000,00;12.034.678,00;5.619.319,19;0,00;;;;;;;;;;;;;;
1.1.1.1.17 - Outros Bancos Federais;2001;0,00;0,00;0,00;0,00;264.507.000,00;188.048.000,00;0,00;0,00;0,00;41.927.300,00;0,00;0,00;0,00;10.880.000,00;40.693.000,00;46.790.000,00;18.808.000,00;0,00;0,00;46.688.000,00;0,00;0,00;0,00;0,00;70.069.902,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.18 - Demais Dívidas com a União;2001;0,00;20.883.000,00;0,00;0,00;147.736.882,74;237.135.000,00;400.000,00;29.286.698,21;0,00;0,00;34.363.315,91;231.649.770,00;36.592.703,35;24.034.806,00;78.406.000,00;161.329.000,00;0,00;140.474.455,14;30.459.000,00;56.367.000,00;91.002.000,00;14.316.000,00;3.220.556,00;0,00;57.603.502,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2 - Outras Dívidas Contratuais;2001;0,00;106.144.000,00;0,00;0,00;1.091.000,00;4.588.000,00;0,00;181.355.000,00;0,00;5.848.160,00;1.125.120.490,00;0,00;0,00;0,00;87.000,00;0,00;0,00;870.532.848,70;541.405.514,00;0,00;0,00;0,00;483.728.300,00;652.749.000,00;12.553.078,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.1 - Bancos Estaduais;2001;0,00;106.144.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;518.418.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.2 - Bancos Privados;2001;0,00;0,00;0,00;0,00;0,00;1.139.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150.783.848,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.3 - Demais;2001;0,00;0,00;0,00;0,00;1.091.000,00;3.449.000,00;0,00;181.355.000,00;0,00;5.848.160,00;1.125.120.490,00;0,00;0,00;0,00;87.000,00;0,00;0,00;719.749.000,00;22.987.514,00;0,00;0,00;0,00;483.728.300,00;652.749.000,00;12.553.078,00;0,00;0,00;;;;;;;;;;;;;;
1.1.2 - Mobiliária Interna;2001;0,00;1.055.637.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53.044.532,75;0,00;0,00;473.130.729,26;0,00;;;;;;;;;;;;;;
1.1.2.1 - Principal;2001;0,00;1.055.637.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;53.044.532,75;0,00;0,00;473.130.729,26;0,00;;;;;;;;;;;;;;
1.2 - Fundada Externa;2001;0,00;30.304.000,00;305.000,00;4.450.000,00;1.422.391.000,00;1.124.685.000,00;172.813.000,00;264.638.000,00;67.504.000,00;240.499.580,00;902.284.409,83;66.258.600,00;218.288.695,83;288.644.000,00;59.885.684,08;280.118.000,00;131.196.000,00;1.708.639.000,00;1.619.603.000,00;46.903.000,00;0,00;47.336.160,00;932.631.353,00;381.000.000,00;101.351.358,00;1.304.011.436,90;311.027.000,00;;;;;;;;;;;;;;
1.2.1 - Contratual;2001;0,00;30.304.000,00;305.000,00;4.450.000,00;1.422.391.000,00;1.124.685.000,00;172.813.000,00;264.638.000,00;67.504.000,00;240.499.580,00;902.284.409,83;66.258.600,00;218.288.695,83;288.644.000,00;59.885.684,08;280.118.000,00;131.196.000,00;1.708.639.000,00;1.616.078.000,00;46.903.000,00;0,00;47.336.160,00;932.631.353,00;381.000.000,00;101.351.358,00;1.304.011.436,90;311.027.000,00;;;;;;;;;;;;;;
1.2.1.1 - Sem aval do Tesouro Nacional;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.941.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.994.000,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.1.2 - Com aval do TN até 30/09/91;2001;0,00;0,00;305.000,00;0,00;85.042.000,00;141.247.000,00;157.730.000,00;9.346.000,00;49.563.000,00;0,00;365.004.853,17;0,00;0,00;1.464.000,00;143.496,20;0,00;0,00;226.462.000,00;0,00;0,00;0,00;0,00;49.310.173,00;84.572.000,00;0,00;97.340.693,49;154.556.000,00;;;;;;;;;;;;;;
1.2.1.3 - Com aval do TN após 30/09/91;2001;0,00;30.304.000,00;0,00;4.450.000,00;1.337.349.000,00;983.438.000,00;15.083.000,00;255.292.000,00;0,00;240.499.580,00;537.279.556,66;66.258.600,00;218.288.695,83;287.180.000,00;59.742.187,88;280.118.000,00;131.196.000,00;1.482.177.000,00;1.616.078.000,00;46.903.000,00;0,00;47.336.160,00;883.321.180,00;293.434.000,00;101.351.358,00;1.206.670.743,41;156.471.000,00;;;;;;;;;;;;;;
1.2.2 - Mobiliária Externa;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.525.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.2.1 - Principal;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.525.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2 - Flutuante;2001;0,00;0,00;0,00;0,00;0,00;0,00;27.638.000,00;15.000.000,00;0,00;0,00;3.600.000.000,00;0,00;0,00;0,00;0,00;0,00;122.291.000,00;0,00;0,00;25.462.000,00;340.742.000,00;0,00;684.843.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.1 - Empreiteiros;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.622.000,00;0,00;0,00;0,00;0,00;0,00;6.595.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.2 - Fornecedores;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14.651.000,00;0,00;0,00;0,00;34.230.000,00;0,00;79.609.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.3 - Autofinanciamentos;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.4 - Folha de Pagamentos;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20.461.000,00;0,00;5.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.5 - AROs;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.6 - INSS;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.254.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.7 - FGTS;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;211.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.8 - PIS/PASEP e Inst. de Pensão;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.9 - Precatórios;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;103.018.000,00;0,00;0,00;25.462.000,00;187.610.000,00;0,00;54.556.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.10 - Outras;2001;0,00;0,00;0,00;0,00;0,00;0,00;27.638.000,00;15.000.000,00;0,00;0,00;3.600.000.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;98.441.000,00;0,00;542.612.000,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
TOTAL ADM. DIRETA;2001;632.035.000,00;3.026.017.006,46;1.987.281.567,38;102.705.510,19;10.000.976.903,63;3.823.576.323,81;1.369.872.739,23;2.709.783.507,28;8.809.974.698,48;4.682.783.637,33;32.690.018.454,35;4.495.525.740,00;5.407.776.665,27;1.734.329.226,60;2.408.802.047,84;4.111.113.032,20;2.238.049.371,81;8.900.799.910,99;29.587.579.743,51;1.035.471.420,00;1.850.541.753,74;198.108.833,70;20.250.085.961,02;6.191.644.242,52;1.147.485.498,84;76.389.635.808,60;576.923.293,45;;;;;;;;;;;;;;
3 - DÍVIDA FUNDADA - Adm. Indireta;2001;58.870.000,00;337.668.576,36;0,00;0,00;159.022.000,00;0,00;0,00;428.195.676,17;48.600.000,00;0,00;456.684.135,13;0,00;32.743.000,00;260.639.613,39;44.170.000,00;597.164.000,00;214.274.793,02;520.051.010,53;102.530.311,03;222.866.230,00;51.511.099,62;0,00;0,00;0,00;0,00;1.650.640.354,88;0,00;;;;;;;;;;;;;;
3.1 -   Fundada Interna;2001;58.870.000,00;337.668.576,36;0,00;0,00;159.022.000,00;0,00;0,00;428.195.676,17;48.600.000,00;0,00;456.684.135,13;0,00;32.743.000,00;260.639.613,39;44.170.000,00;597.164.000,00;214.274.793,02;520.051.010,53;102.530.311,03;222.866.230,00;51.511.099,62;0,00;0,00;0,00;0,00;969.472.801,38;0,00;;;;;;;;;;;;;;
3.1.1 - Contratual;2001;58.870.000,00;337.668.576,36;0,00;0,00;159.022.000,00;0,00;0,00;428.195.676,17;48.600.000,00;0,00;456.684.135,13;0,00;32.743.000,00;260.639.613,39;44.170.000,00;597.164.000,00;214.274.793,02;520.051.010,53;102.530.311,03;222.866.230,00;51.511.099,62;0,00;0,00;0,00;0,00;969.472.801,38;0,00;;;;;;;;;;;;;;
3.1.1.1 - União;2001;58.870.000,00;337.668.576,36;0,00;0,00;159.022.000,00;0,00;0,00;428.195.676,17;48.600.000,00;0,00;456.684.135,13;0,00;32.743.000,00;260.608.613,39;44.170.000,00;597.164.000,00;214.274.793,02;520.051.010,53;102.530.311,03;222.866.230,00;51.511.099,62;0,00;0,00;0,00;0,00;969.472.801,38;0,00;;;;;;;;;;;;;;
3.1.1.1.1 - BIB;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;928.159,95;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.2 - BEA;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.3 - Clube de Paris;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.610.232,01;0,00;0,00;0,00;0,00;0,00;0,00;94.210.021,44;0,00;;;;;;;;;;;;;;
3.1.1.1.4 - DMLP;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;109.362.541,01;0,00;0,00;0,00;0,00;93.677.342,02;0,00;46.529.939,67;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.5 - Lei 7.976/89;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.337.308,49;0,00;0,00;0,00;0,00;0,00;0,00;4.053.000,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.6 - Parc.  FGTS até 31/03/96;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43.752.000,00;0,00;0,00;0,00;0,00;2.885.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.7 - Parc.  FGTS após 31/03/96;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.078.000,00;0,00;0,00;0,00;0,00;22.865.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29.142.724,61;0,00;;;;;;;;;;;;;;
3.1.1.1.8 - Parc.  INSS até 01/12/92;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.9 - Parc.  INSS após 01/12/92;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4.848.000,00;0,00;0,00;0,00;0,00;5.202.000,00;43.744.000,00;0,00;17.802.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48.142.430,12;0,00;;;;;;;;;;;;;;
3.1.1.1.10 - Lei 8.727/93;2001;58.870.000,00;337.668.576,36;0,00;0,00;0,00;0,00;0,00;424.117.676,17;0,00;0,00;456.684.135,13;0,00;0,00;134.821.763,89;0,00;597.164.000,00;196.472.793,02;520.051.010,53;0,00;222.866.230,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.11 - Lei 9.496/97;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
3.1.1.1.12 - CEF/VOTO 162;2001;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
